date;ville;temperature_min_C;temperature_max_C;vent_km_h;pression_hPa;humidite_pct;precipitations_mm;ensoleillement_h
26/05/2026;Strasbourg;3.5;10.4;5;1011.5;88.5;0;9.6
26/05/2026;Mulhouse;1.1;7.9;22.5;1009.3;50.8;0;11.8
26/05/2026;Nancy;10.3;16.8;5;1010.7;87.8;8.7;1.8
26/05/2026;Metz;6.6;14.5;17.8;1014.0;78.2;0;10.6
26/05/2026;Dijon;8.3;13.1;29.1;1017.5;81.4;5.4;5.3
27/05/2026;Strasbourg;10.5;18.3;27.4;1006.9;55.8;0;11.1
27/05/2026;Mulhouse;13.5;22.4;16.2;1009.0;62.2;0;11.9
27/05/2026;Nancy;7.4;12.7;22.4;1020.2;70.0;9.5;3.8
27/05/2026;Metz;6.7;12.9;18.0;1019.8;49.1;0;11.3
27/05/2026;Dijon;10.0;16.0;13.1;1011.4;48.7;4.2;5.0
28/05/2026;Strasbourg;7.3;12.7;29.0;1016.0;51.2;0;9.8
28/05/2026;Mulhouse;6.1;11.2;5.2;1023.3;72.4;0;11.1
28/05/2026;Nancy;5.5;11.6;27.8;1011.4;50.0;0;10.4
28/05/2026;Metz;10.3;17.9;10.2;1004.0;60.9;0;8.7
28/05/2026;Dijon;6.5;15.3;19.0;1018.8;67.8;9.7;0.4
29/05/2026;Strasbourg;14.9;19.0;27.6;1009.1;78.0;0;11.1
29/05/2026;Mulhouse;9.5;15.2;22.5;1019.4;75.8;0;9.9
29/05/2026;Nancy;3.9;11.8;16.0;1009.3;47.0;1.4;10.6
29/05/2026;Metz;11.2;17.6;5;1017.4;57.9;0;8.2
29/05/2026;Dijon;14.4;20.6;14.0;1012.4;88.0;2.9;8.4
30/05/2026;Strasbourg;9.2;17.2;25.4;1004.0;72.1;0;10.2
30/05/2026;Mulhouse;9.4;14.9;15.6;1017.8;52.5;0;9.8
30/05/2026;Nancy;9.0;16.2;27.7;1003.4;75.2;0;10.1
30/05/2026;Metz;5.7;12.7;27.3;1003.0;48.0;0;9.5
30/05/2026;Dijon;11.4;16.2;15.7;1010.8;65.0;2.4;7.5
31/05/2026;Strasbourg;9.4;14.0;25.7;1012.4;62.4;0;9.0
31/05/2026;Mulhouse;6.5;13.6;24.3;1022.5;54.0;1.7;7.3
31/05/2026;Nancy;16.9;25.7;34.5;1014.9;76.9;0;9.2
31/05/2026;Metz;10.9;19.5;22.3;1018.6;67.9;3.0;6.2
31/05/2026;Dijon;13.9;19.7;28.1;1013.2;72.5;4.1;8.7
01/06/2026;Strasbourg;15.7;23.8;5;1023.9;73.9;0;10.7
01/06/2026;Mulhouse;14.1;20.9;20.6;1018.3;50.8;0;11.5
01/06/2026;Nancy;9.8;14.6;32.7;1006.2;87.6;0;9.1
01/06/2026;Metz;11.8;18.6;5;1010.6;69.0;0;8.7
01/06/2026;Dijon;8.8;16.4;21.2;1019.7;70.4;0;8.1
02/06/2026;Strasbourg;15.0;20.3;7.4;1015.7;72.8;9.9;2.3
02/06/2026;Mulhouse;13.3;20.7;10.4;1005.4;47.7;0;9.9
02/06/2026;Nancy;4.4;12.7;11.2;1023.6;60.5;8.6;3.2
02/06/2026;Metz;11.3;16.6;8.7;1006.1;58.1;7.2;3.2
02/06/2026;Dijon;14.6;22.2;6.6;1007.5;89.8;0;11.5
03/06/2026;Strasbourg;17.9;24.4;33.8;1005.9;60.9;5.9;6.8
03/06/2026;Mulhouse;9.5;14.0;5;1009.8;61.5;0;8.2
03/06/2026;Nancy;6.5;13.3;5;1014.6;79.4;10.9;2.0
03/06/2026;Metz;6.3;12.2;34.5;1012.7;61.5;7.0;4.0
03/06/2026;Dijon;6.9;12.6;16.6;1012.5;72.3;0;9.3
04/06/2026;Strasbourg;5.7;12.8;29.5;1013.9;67.8;0;10.0
04/06/2026;Mulhouse;12.1;17.9;23.6;1022.2;71.3;0;10.9
04/06/2026;Nancy;6.9;14.2;34.0;1013.2;55.2;5.8;5.5
04/06/2026;Metz;3.1;11.2;8.5;1015.6;76.5;5.4;5.4
04/06/2026;Dijon;12.1;20.0;32.2;1019.2;78.1;2.4;6.9
05/06/2026;Strasbourg;10.8;16.7;33.5;1010.8;69.0;0;10.7
05/06/2026;Mulhouse;8.1;13.3;19.5;1007.5;88.8;3.9;5.7
05/06/2026;Nancy;9.4;18.1;27.8;1007.7;50.5;0;9.5
05/06/2026;Metz;18.9;26.9;10.2;1009.7;77.1;5.4;4.7
05/06/2026;Dijon;18.2;23.6;19.7;1008.5;49.9;0;9.0
06/06/2026;Strasbourg;10.2;17.4;5;1012.8;77.3;8.7;1.1
06/06/2026;Mulhouse;0.7;8.0;30.8;1011.4;74.3;0;9.1
06/06/2026;Nancy;17.5;21.9;20.1;1013.7;77.5;0;11.7
06/06/2026;Metz;12.4;21.1;5;1021.2;80.5;8.5;4.7
06/06/2026;Dijon;4.3;11.1;5;1024.2;57.8;0;10.2
07/06/2026;Strasbourg;10.8;17.3;9.5;1020.2;59.9;0;10.6
07/06/2026;Mulhouse;9.5;15.0;23.6;1006.5;72.5;0;9.6
07/06/2026;Nancy;8.3;15.6;6.5;1007.2;59.6;3.6;6.1
07/06/2026;Metz;7.0;14.6;5;1017.6;76.2;2.2;7.5
07/06/2026;Dijon;17.7;26.1;26.9;1016.1;73.7;0;9.5
08/06/2026;Strasbourg;7.8;12.6;26.2;1014.5;63.7;0;9.9
08/06/2026;Mulhouse;8.7;16.5;23.8;1014.5;80.4;0;10.1
08/06/2026;Nancy;13.5;17.8;19.2;1013.2;70.8;4.3;6.6
08/06/2026;Metz;13.2;19.6;31.5;1010.8;47.5;5.2;6.1
08/06/2026;Dijon;9.7;17.3;13.9;1019.9;78.6;0;8.2
