date;ville;temperature_min_C;temperature_max_C;vent_km_h;pression_hPa;humidite_pct;precipitations_mm;ensoleillement_h
26/05/2026;Lille;6.7;11.8;35.8;1015.0;85.1;6.2;3.2
26/05/2026;Amiens;8.2;15.0;35.1;1015.5;63.9;0;9.1
26/05/2026;Rouen;4.5;10.6;19.7;1007.3;79.4;5.8;4.8
26/05/2026;Calais;9.5;17.1;28.8;1021.6;62.0;0;11.3
26/05/2026;Reims;3.0;8.0;12.4;1017.0;79.8;0;11.4
27/05/2026;Lille;5.3;13.5;15.7;1010.5;75.2;0;10.7
27/05/2026;Amiens;3.1;10.7;15.7;1011.0;89.5;0;10.2
27/05/2026;Rouen;11.7;16.8;11.1;1010.2;57.0;11.4;2.4
27/05/2026;Calais;5.6;14.0;32.5;1004.6;51.3;0;10.2
27/05/2026;Reims;5.8;11.6;44.9;1003.3;67.2;0;11.4
28/05/2026;Lille;10.8;16.9;12.2;1011.4;89.8;0;11.9
28/05/2026;Amiens;1.7;10.1;36.3;1016.7;60.3;3.6;5.1
28/05/2026;Rouen;10.1;16.6;13.7;1016.1;82.9;0;8.8
28/05/2026;Calais;6.5;14.4;28.6;1002.2;59.6;11.3;2.5
28/05/2026;Reims;4.6;11.4;12.8;1018.4;81.7;0;10.1
29/05/2026;Lille;7.1;13.8;19.3;1020.5;64.0;7.4;5.0
29/05/2026;Amiens;5.6;13.0;23.1;1020.7;65.3;2.6;6.0
29/05/2026;Rouen;4.1;8.5;32.1;1006.4;85.7;0;8.3
29/05/2026;Calais;7.2;13.9;35.3;1019.1;70.9;6.7;4.3
29/05/2026;Reims;7.2;13.3;26.3;1017.0;75.3;0;8.4
30/05/2026;Lille;16.7;21.2;16.7;1014.1;51.3;6.6;6.2
30/05/2026;Amiens;10.8;17.6;11.8;1023.8;82.6;0;11.7
30/05/2026;Rouen;8.8;13.9;24.0;1003.8;62.1;0;9.1
30/05/2026;Calais;11.1;18.8;37.4;1014.5;66.9;4.2;4.9
30/05/2026;Reims;5.7;10.0;26.7;1020.7;68.9;7.1;5.7
31/05/2026;Lille;10.6;15.8;14.2;1021.4;56.1;0;10.5
31/05/2026;Amiens;13.0;18.6;19.1;1016.5;59.1;3.3;7.9
31/05/2026;Rouen;15.1;19.5;26.0;1022.4;89.8;4.1;5.8
31/05/2026;Calais;12.0;17.8;15.5;1020.1;76.7;0;11.9
31/05/2026;Reims;9.6;15.1;33.2;1020.5;51.0;3.1;7.7
01/06/2026;Lille;5.4;11.1;34.1;1018.6;67.7;11.1;0
01/06/2026;Amiens;8.2;13.9;14.6;1023.1;52.3;0;10.8
01/06/2026;Rouen;-0.7;7.7;41.6;1011.8;82.6;0;8.6
01/06/2026;Calais;3.9;12.6;44.0;1001.4;61.1;0;10.7
01/06/2026;Reims;11.8;17.8;31.7;1004.9;86.8;0;11.9
02/06/2026;Lille;1.5;9.2;21.6;1021.5;81.1;0;11.2
02/06/2026;Amiens;10.1;16.0;11.4;1013.3;54.0;0;9.4
02/06/2026;Rouen;9.6;15.6;19.8;1004.4;79.8;7.1;5.0
02/06/2026;Calais;-2.1;6.3;19.1;1014.7;89.3;8.0;3.0
02/06/2026;Reims;14.2;18.8;41.5;1004.7;47.0;0;10.1
03/06/2026;Lille;6.6;14.3;16.9;1011.9;87.7;0;10.5
03/06/2026;Amiens;6.5;12.0;24.3;1010.6;58.3;6.2;6.8
03/06/2026;Rouen;5.3;12.0;10.0;1009.7;64.3;0;10.6
03/06/2026;Calais;12.5;19.1;37.8;1020.4;78.1;0;9.1
03/06/2026;Reims;6.4;14.2;33.5;1006.1;54.0;4.4;6.4
04/06/2026;Lille;11.0;17.9;35.1;1009.2;63.0;8.9;4.5
04/06/2026;Amiens;3.2;11.2;34.4;1010.9;70.1;0;8.5
04/06/2026;Rouen;6.8;15.7;30.8;1020.9;85.1;0;10.9
04/06/2026;Calais;8.6;14.8;15.6;1020.7;65.3;0;11.4
04/06/2026;Reims;7.1;14.2;19.6;1004.6;57.9;5.2;6.0
05/06/2026;Lille;8.0;12.8;17.5;1011.5;59.9;0;8.2
05/06/2026;Amiens;11.2;19.9;10.7;1021.5;70.9;0;11.8
05/06/2026;Rouen;8.7;17.5;24.7;1017.5;69.6;0;8.9
05/06/2026;Calais;8.0;13.9;33.4;1017.6;77.6;0;11.7
05/06/2026;Reims;7.5;14.5;33.2;1003.4;64.3;0;8.7
06/06/2026;Lille;5.5;11.1;36.6;1008.9;78.8;0;9.0
06/06/2026;Amiens;12.2;16.5;43.3;1005.2;48.1;0;8.2
06/06/2026;Rouen;6.9;11.0;15.3;1006.0;75.1;0;8.9
06/06/2026;Calais;3.7;10.7;36.2;1003.7;81.9;0;8.4
06/06/2026;Reims;6.3;14.8;23.1;1021.5;53.9;0;11.3
07/06/2026;Lille;8.4;16.7;31.0;1004.3;89.3;0;9.4
07/06/2026;Amiens;6.5;13.7;10.4;1012.4;67.1;0;9.4
07/06/2026;Rouen;9.8;17.5;43.8;1006.0;81.4;0;9.9
07/06/2026;Calais;13.8;19.4;18.6;1021.8;57.6;0;11.0
07/06/2026;Reims;4.9;9.0;39.8;1004.7;54.5;0;9.4
08/06/2026;Lille;3.6;7.7;43.2;1002.4;77.4;0;11.0
08/06/2026;Amiens;9.8;17.8;13.3;1008.1;76.1;7.8;3.7
08/06/2026;Rouen;9.1;15.9;22.3;1011.8;58.8;9.2;1.9
08/06/2026;Calais;6.0;11.0;35.9;1006.9;71.5;0;10.4
08/06/2026;Reims;6.2;12.0;20.6;1017.1;50.7;2.5;7.2
