date;ville;temperature_min_C;temperature_max_C;vent_km_h;pression_hPa;humidite_pct;precipitations_mm;ensoleillement_h
26/05/2026;Brest;14.0;18.3;51.3;1019.6;66.2;2.8;6.3
26/05/2026;Nantes;18.1;24.3;52.1;1007.3;48.6;0;11.5
26/05/2026;Rennes;11.9;16.8;38.8;1011.7;77.8;1.0;7.3
26/05/2026;La Rochelle;13.7;19.8;33.3;1006.3;65.7;2.9;9.2
26/05/2026;Bordeaux;12.2;19.3;52.8;1017.5;55.8;6.9;4.3
27/05/2026;Brest;8.2;14.4;38.9;1016.2;79.9;10.9;0.2
27/05/2026;Nantes;8.4;15.8;31.2;1007.9;51.4;0;8.9
27/05/2026;Rennes;11.5;18.5;45.7;1003.9;75.5;0;8.2
27/05/2026;La Rochelle;11.5;19.4;31.2;1010.2;51.7;8.5;3.1
27/05/2026;Bordeaux;11.7;19.7;52.0;1011.0;88.6;0;8.5
28/05/2026;Brest;12.2;16.6;35.7;1008.9;69.1;0;8.2
28/05/2026;Nantes;14.4;22.8;26.6;1017.6;77.6;0;9.9
28/05/2026;Rennes;16.2;21.3;26.7;1017.2;78.6;0;11.7
28/05/2026;La Rochelle;7.9;13.1;31.3;1007.5;66.0;0;9.2
28/05/2026;Bordeaux;13.5;18.0;54.3;1009.0;82.8;0;9.5
29/05/2026;Brest;15.3;23.0;20.6;1014.0;71.3;0;9.2
29/05/2026;Nantes;8.8;17.0;37.5;1014.3;75.8;9.2;4.5
29/05/2026;Rennes;17.4;23.2;24.9;1013.4;53.3;0;12.0
29/05/2026;La Rochelle;16.3;20.7;48.6;1001.1;45.3;7.3;2.4
29/05/2026;Bordeaux;12.1;18.0;41.6;1014.2;72.7;0;10.0
30/05/2026;Brest;13.2;17.3;45.3;1011.2;57.9;0;10.8
30/05/2026;Nantes;21.2;25.7;23.4;1005.6;53.6;0;11.3
30/05/2026;Rennes;5.8;14.6;36.1;1006.3;76.4;9.3;0.9
30/05/2026;La Rochelle;10.2;17.0;22.0;1003.0;52.7;0;9.7
30/05/2026;Bordeaux;16.4;20.9;38.5;1002.0;54.5;0;11.6
31/05/2026;Brest;16.8;24.2;29.8;1012.9;74.6;9.5;0.5
31/05/2026;Nantes;12.4;20.0;33.9;1003.1;52.3;9.3;2.1
31/05/2026;Rennes;12.3;17.0;54.6;1014.0;67.5;0;8.2
31/05/2026;La Rochelle;10.3;17.3;41.5;1012.8;88.6;7.3;5.3
31/05/2026;Bordeaux;11.6;20.3;35.1;1015.1;74.7;7.2;5.4
01/06/2026;Brest;7.6;15.2;42.2;1015.6;59.3;1.1;8.4
01/06/2026;Nantes;10.4;14.8;35.1;1012.6;68.1;1.9;8.7
01/06/2026;Rennes;6.9;12.8;30.2;1009.7;48.8;0;11.6
01/06/2026;La Rochelle;9.5;15.4;24.9;1008.5;67.2;5.3;5.4
01/06/2026;Bordeaux;12.5;21.2;45.2;1010.4;72.8;0;8.5
02/06/2026;Brest;9.6;16.7;48.1;1006.8;60.1;0;11.4
02/06/2026;Nantes;5.5;14.2;27.0;1008.6;88.4;0;9.2
02/06/2026;Rennes;19.6;25.2;29.8;1017.7;61.4;0;8.8
02/06/2026;La Rochelle;13.5;17.6;45.5;1019.3;54.4;0;11.3
02/06/2026;Bordeaux;14.4;20.4;37.5;1013.9;55.9;0;10.9
03/06/2026;Brest;17.7;24.1;34.0;1011.7;86.4;0;10.2
03/06/2026;Nantes;13.5;20.5;52.0;1002.0;56.2;0;8.7
03/06/2026;Rennes;12.3;19.7;34.0;1016.7;88.5;0;8.0
03/06/2026;La Rochelle;13.2;20.0;44.1;1005.0;61.8;0;10.7
03/06/2026;Bordeaux;13.1;19.5;30.3;1020.4;48.9;0;10.9
04/06/2026;Brest;12.6;17.6;36.9;1010.8;64.7;0;9.3
04/06/2026;Nantes;15.6;19.7;32.0;1004.0;81.0;0;11.0
04/06/2026;Rennes;6.0;12.8;53.5;1004.3;63.2;7.4;3.8
04/06/2026;La Rochelle;14.9;21.1;35.0;1001.6;54.7;8.0;4.8
04/06/2026;Bordeaux;13.8;18.7;31.4;1011.0;56.8;0;10.1
05/06/2026;Brest;12.0;18.9;32.2;1018.7;72.8;0;10.8
05/06/2026;Nantes;11.3;18.7;31.0;1006.7;50.3;2.4;7.6
05/06/2026;Rennes;9.8;14.7;42.2;1014.6;74.0;0;10.2
05/06/2026;La Rochelle;10.2;18.4;41.7;1018.1;87.8;0;8.8
05/06/2026;Bordeaux;16.4;22.9;44.0;1008.9;82.8;0;8.3
06/06/2026;Brest;11.6;15.8;27.9;1008.0;80.1;0;11.1
06/06/2026;Nantes;14.0;18.6;47.1;1016.8;61.5;0;8.2
06/06/2026;Rennes;21.1;25.6;49.1;1015.1;58.4;0;9.8
06/06/2026;La Rochelle;6.4;14.7;24.1;1018.8;54.4;0;10.8
06/06/2026;Bordeaux;6.7;11.4;27.2;1006.4;47.7;3.8;7.1
07/06/2026;Brest;9.4;16.3;53.3;1010.0;85.5;0;8.5
07/06/2026;Nantes;18.4;26.7;24.4;1019.9;56.2;0;11.3
07/06/2026;Rennes;16.8;22.1;34.5;1010.6;73.5;0;8.4
07/06/2026;La Rochelle;6.9;15.3;35.9;1011.2;71.2;0;11.4
07/06/2026;Bordeaux;10.4;17.7;32.5;1003.0;69.0;5.3;4.6
08/06/2026;Brest;9.6;16.3;24.6;1019.6;80.5;0;11.0
08/06/2026;Nantes;14.0;20.3;24.3;1019.7;64.9;10.6;0.3
08/06/2026;Rennes;8.0;16.4;50.7;1001.8;61.2;7.6;4.5
08/06/2026;La Rochelle;8.9;16.4;28.2;1015.3;76.7;5.8;3.9
08/06/2026;Bordeaux;13.6;17.6;32.0;1004.2;83.7;0;9.9
