date;ville;temperature_min_C;temperature_max_C;vent_km_h;pression_hPa;humidite_pct;precipitations_mm;ensoleillement_h
26/05/2026;Marseille;21.5;26.0;15.4;1009.1;66.5;8.7;2.0
26/05/2026;Montpellier;16.4;22.9;35.2;1015.2;51.8;0;11.8
26/05/2026;Toulon;13.1;20.9;36.2;1017.2;55.2;0;9.8
26/05/2026;Nîmes;21.5;27.6;34.9;1002.7;88.2;6.6;5.2
26/05/2026;Perpignan;16.4;21.3;17.6;1003.3;65.3;0;9.2
27/05/2026;Marseille;14.0;22.3;17.5;1007.9;56.9;0;10.4
27/05/2026;Montpellier;17.2;24.4;46.8;1016.9;48.2;2.1;9.3
27/05/2026;Toulon;12.4;18.7;25.6;1010.5;57.3;0;9.8
27/05/2026;Nîmes;15.7;21.3;23.8;1004.4;88.3;0;10.3
27/05/2026;Perpignan;20.1;25.4;16.4;1018.5;66.2;0;11.7
28/05/2026;Marseille;15.4;23.5;48.9;1009.5;63.4;0.0;8.6
28/05/2026;Montpellier;17.7;26.4;43.5;1011.7;65.5;2.2;10.1
28/05/2026;Toulon;27.2;31.2;45.4;1009.7;47.4;0;10.5
28/05/2026;Nîmes;25.0;30.0;34.2;1020.1;64.7;0;8.5
28/05/2026;Perpignan;15.7;21.3;15.5;1011.6;55.1;0;8.5
29/05/2026;Marseille;12.5;21.2;25.2;1016.6;63.7;0;9.9
29/05/2026;Montpellier;18.1;26.7;32.8;1019.3;83.9;6.9;4.1
29/05/2026;Toulon;9.6;17.2;44.3;1012.2;74.7;0;9.8
29/05/2026;Nîmes;20.8;27.5;30.9;1008.3;53.5;0;10.3
29/05/2026;Perpignan;17.7;23.3;31.6;1020.1;62.2;0;11.2
30/05/2026;Marseille;13.8;20.3;35.7;1018.8;84.3;0;10.1
30/05/2026;Montpellier;14.8;23.2;48.9;1001.6;80.2;5.2;5.4
30/05/2026;Toulon;18.5;26.8;28.3;1008.5;77.3;0;11.5
30/05/2026;Nîmes;14.5;21.9;25.1;1007.0;49.1;0;11.0
30/05/2026;Perpignan;17.1;25.6;16.6;1019.3;58.2;0.5;9.7
31/05/2026;Marseille;12.5;17.4;36.3;1009.0;75.7;0;10.3
31/05/2026;Montpellier;16.7;22.0;15.3;1019.6;85.6;0;8.6
31/05/2026;Toulon;27.2;32.7;48.7;1013.9;65.6;9.0;4.2
31/05/2026;Nîmes;17.7;24.6;49.7;1005.9;89.0;0;9.1
31/05/2026;Perpignan;12.7;21.6;46.9;1015.2;82.5;0;11.1
01/06/2026;Marseille;15.6;22.8;36.7;1014.9;77.4;0;11.4
01/06/2026;Montpellier;19.7;25.2;30.4;1013.6;78.0;2.0;9.4
01/06/2026;Toulon;17.9;26.3;27.8;1012.3;57.3;8.1;5.3
01/06/2026;Nîmes;18.1;22.7;48.7;1002.9;88.5;0;10.9
01/06/2026;Perpignan;25.5;31.3;42.7;1001.0;69.1;0;10.7
02/06/2026;Marseille;17.9;26.6;18.8;1007.8;46.1;0;10.2
02/06/2026;Montpellier;9.7;17.8;46.8;1006.4;63.4;8.5;2.4
02/06/2026;Toulon;17.5;24.2;28.6;1009.6;87.7;0;10.2
02/06/2026;Nîmes;10.9;17.0;18.5;1012.9;63.4;0;8.1
02/06/2026;Perpignan;18.4;23.6;27.7;1021.8;61.5;0;10.6
03/06/2026;Marseille;16.9;21.5;44.7;1009.6;74.8;0;10.4
03/06/2026;Montpellier;13.8;22.7;42.5;1004.9;82.3;0;10.3
03/06/2026;Toulon;12.7;21.2;15.1;1020.7;51.5;1.5;7.5
03/06/2026;Nîmes;15.0;22.9;35.6;1001.8;56.9;3.2;5.9
03/06/2026;Perpignan;19.6;26.2;18.8;1013.2;87.5;6.8;6.0
04/06/2026;Marseille;18.0;22.2;50.0;1016.9;64.2;6.1;4.9
04/06/2026;Montpellier;16.6;21.2;36.9;1013.0;77.0;5.0;5.2
04/06/2026;Toulon;9.5;17.0;44.8;1013.5;79.6;0;8.9
04/06/2026;Nîmes;19.9;28.0;29.0;1016.7;59.1;1.5;10.6
04/06/2026;Perpignan;24.4;28.9;18.4;1017.9;81.5;0;10.3
05/06/2026;Marseille;15.6;21.7;45.6;1019.3;64.0;0;8.2
05/06/2026;Montpellier;15.9;22.8;22.4;1015.9;55.1;7.5;3.5
05/06/2026;Toulon;18.3;26.5;49.1;1016.5;72.6;0;8.1
05/06/2026;Nîmes;14.4;22.2;47.3;1007.3;53.2;5.6;3.8
05/06/2026;Perpignan;18.3;24.2;30.9;1005.1;59.0;8.4;3.7
06/06/2026;Marseille;21.8;26.0;17.9;1012.1;64.1;0;9.7
06/06/2026;Montpellier;14.8;20.9;24.9;1016.1;66.9;0;8.2
06/06/2026;Toulon;20.4;25.4;48.1;1015.5;79.4;0.2;9.8
06/06/2026;Nîmes;18.1;25.6;32.5;1018.4;81.3;7.6;2.1
06/06/2026;Perpignan;15.0;20.6;30.0;1010.1;73.8;3.1;9.4
07/06/2026;Marseille;16.7;24.9;47.2;1002.0;83.0;4.9;6.2
07/06/2026;Montpellier;25.5;30.6;42.3;1002.3;73.5;0;8.8
07/06/2026;Toulon;20.5;27.7;20.2;1005.0;56.5;0.5;10.6
07/06/2026;Nîmes;19.7;26.2;41.4;1016.1;65.2;0;10.3
07/06/2026;Perpignan;19.2;24.8;30.4;1011.3;73.4;0;10.4
08/06/2026;Marseille;16.2;22.5;17.0;1019.9;48.5;0;11.4
08/06/2026;Montpellier;12.4;19.3;48.4;1014.9;46.8;0;10.3
08/06/2026;Toulon;19.0;23.8;17.2;1005.4;85.5;6.1;5.1
08/06/2026;Nîmes;16.7;25.7;33.3;1013.9;61.4;0;9.5
08/06/2026;Perpignan;13.2;20.4;26.7;1008.9;70.1;1.5;10.2
